/home/minh.le4/RouterDC/venv/lib/python3.12/site-packages/transformers/convert_slow_tokenizer.py:558: UserWarning: The sentencepiece tokenizer that you are converting to a fast tokenizer uses the byte fallback option which is not implemented in the fast tokenizers. In practice this means that the fast version of the tokenizer can produce unknown tokens whereas the sentencepiece version would have converted these unknown tokens into a sequence of byte tokens matching the original piece of text.
  warnings.warn(
init_model, router_node size: ['codellama/CodeLlama-7b-Instruct-hf', 'codellama/CodeLlama-13b-Instruct-hf', 'deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct', 'Qwen/Qwen2.5-Coder-14B-Instruct', 'bigcode/starcoder2-15b-instruct-v0.1', 'Virtue-AI-HUB/VulnLLM-R-7B']
Training start!!!
step:160, loss:1.7376270294189453                                      
step:161, loss:1.9778470993041992                                      
step:162, loss:1.8019901514053345                                      
step:163, loss:1.8716707229614258                                      
step:164, loss:1.7959884405136108                                      
step:165, loss:1.839069128036499                                       
step:166, loss:1.8163440227508545                                      
step:167, loss:1.8642442226409912                                      
step:168, loss:1.7695211172103882                                      
step:169, loss:1.6819956302642822                                      
step:170, loss:1.8071457147598267                                      
step:171, loss:1.7242166996002197                                      
step:172, loss:1.9361379146575928                                      
step:173, loss:1.8459711074829102                                      
step:174, loss:1.7309672832489014                                      
step:175, loss:1.8526180982589722                                      
step:176, loss:1.833038330078125                                       
step:177, loss:1.747566819190979                                       
step:178, loss:1.8756327629089355                                      
step:179, loss:1.9025651216506958                                      
step:180, loss:1.5890456438064575                                      
step:181, loss:1.889472246170044                                       
step:182, loss:1.853482961654663                                       
step:183, loss:1.858717679977417                                       
step:184, loss:1.7969214916229248                                      
step:185, loss:1.8631260395050049                                      
step:186, loss:1.8263893127441406                                      
step:187, loss:1.8008294105529785                                      
step:188, loss:1.838175892829895                                       
step:189, loss:1.825089454650879                                       
step:190, loss:1.772388219833374                                       
step:191, loss:1.8096630573272705                                      
step:192, loss:1.831238865852356                                       
step:193, loss:1.8284368515014648                                      
step:194, loss:1.817034363746643                                       
step:195, loss:1.8551239967346191                                      
step:196, loss:1.890079140663147                                       
 20%|█▉        | 197/1000 [16:15<24:31,  1.83s/it, step=196, loss=1.89]step:197, avg_loss_per_epoch:1.8689372412444372
