/home/minh.le4/RouterDC/venv/lib/python3.12/site-packages/transformers/convert_slow_tokenizer.py:558: UserWarning: The sentencepiece tokenizer that you are converting to a fast tokenizer uses the byte fallback option which is not implemented in the fast tokenizers. In practice this means that the fast version of the tokenizer can produce unknown tokens whereas the sentencepiece version would have converted these unknown tokens into a sequence of byte tokens matching the original piece of text.
  warnings.warn(
init_model, router_node size: ['codellama/CodeLlama-7b-Instruct-hf', 'codellama/CodeLlama-13b-Instruct-hf', 'deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct', 'Qwen/Qwen2.5-Coder-14B-Instruct', 'bigcode/starcoder2-15b-instruct-v0.1', 'Virtue-AI-HUB/VulnLLM-R-7B']
Training start!!!
step:181, loss:3.1147944927215576                                      
step:182, loss:3.199509382247925                                       
step:183, loss:3.3324551582336426                                      
step:184, loss:3.105144500732422                                       
step:185, loss:3.1098508834838867                                      
step:186, loss:3.0965943336486816                                      
step:187, loss:3.0590710639953613                                      
step:188, loss:3.16035795211792                                        
step:189, loss:3.114511013031006                                       
step:190, loss:3.1516401767730713                                      
step:191, loss:3.289867639541626                                       
step:192, loss:3.170415163040161                                       
step:193, loss:3.1534695625305176                                      
step:194, loss:3.174861192703247                                       
step:195, loss:3.119555950164795                                       
step:196, loss:3.126248359680176                                       
 20%|█▉        | 197/1000 [16:10<24:32,  1.83s/it, step=196, loss=3.13]step:197, avg_loss_per_epoch:3.2351278423657877
step:197, loss:3.1313624382019043                                      
step:198, loss:2.9785072803497314                                      
 20%|█▉        | 199/1000 [16:14<24:28,  1.83s/it, step=198, loss=2.98]validation start
acc_./datasets/split2_primevul_cluster_gen/primevul_gen_train.json: 0.7220019017379296
acc 0.4003807106598985
test start
acc_./datasets/split2_primevul_gen/primevul_gen_test.json: 0.7348630701851439
acc 0.4085862324204293
average testing 0.7348630701851439
average training 0.7220019017379296
step:199, loss:3.3250768184661865                                      
step:200, loss:3.029294729232788                                          
step:201, loss:3.1854984760284424                                         
step:202, loss:2.994508743286133                                         
step:203, loss:3.065244436264038                                         
step:204, loss:3.4403276443481445                                        
step:205, loss:2.916253089904785                                         
step:206, loss:3.261589765548706                                         
step:207, loss:3.4163899421691895                                        
step:208, loss:3.045257806777954                                         
step:209, loss:3.1639978885650635                                        
step:210, loss:3.0644869804382324                                      
step:211, loss:3.1606884002685547                                      
step:212, loss:3.3592889308929443                                      
step:213, loss:3.1278421878814697                                      
step:214, loss:3.012753963470459                                       
step:215, loss:3.1054000854492188                                      
step:216, loss:3.284740447998047                                       
step:217, loss:3.017456531524658                                       
step:218, loss:3.205754280090332                                       
step:219, loss:3.027129650115967                                       
step:220, loss:3.164865255355835                                       
step:221, loss:3.0575003623962402                                      
step:222, loss:3.0899484157562256                                      
step:223, loss:2.9468626976013184                                      
step:224, loss:3.1910853385925293                                      
step:225, loss:2.8130574226379395                                      
step:226, loss:3.2293639183044434                                      
step:227, loss:2.873586654663086                                       
step:228, loss:3.114250421524048                                       
step:229, loss:3.311859130859375                                       
step:230, loss:3.0159049034118652                                      
step:231, loss:2.9986069202423096                                      
step:232, loss:2.981144666671753                                       
step:233, loss:3.0538229942321777                                      
step:234, loss:3.281655788421631                                       
step:235, loss:3.047494411468506                                       
step:236, loss:3.0501461029052734                                      
step:237, loss:3.029062509536743                                       
step:238, loss:3.125300884246826                                       
step:239, loss:3.3309738636016846                                      
step:240, loss:3.107682228088379                                       
step:241, loss:3.1052205562591553                                      
step:242, loss:3.066244125366211                                       
step:243, loss:3.0909523963928223                                      
step:244, loss:3.501634359359741                                       
step:245, loss:3.2436578273773193                                      
step:246, loss:3.24375319480896                                        
step:247, loss:3.1731085777282715                                      
step:248, loss:3.443913459777832                                       
 25%|██▍       | 249/1000 [21:06<23:09,  1.85s/it, step=248, loss=3.44]validation start
acc_./datasets/split2_primevul_cluster_gen/primevul_gen_train.json: 0.7179092677111553
acc 0.4554251269035533
test start
acc_./datasets/split2_primevul_gen/primevul_gen_test.json: 0.7274981476835284
acc 0.4594744633604737
average testing 0.7274981476835284
average training 0.7179092677111553
step:249, loss:3.089406967163086                                       
step:250, loss:3.156134605407715                                          
step:251, loss:3.0770695209503174                                         
step:252, loss:3.1683874130249023                                        
step:253, loss:3.6045281887054443                                        
step:254, loss:2.9433364868164062                                        
step:255, loss:3.068474292755127                                         
step:256, loss:3.1801934242248535                                        
step:257, loss:3.034689426422119                                         
step:258, loss:3.406205177307129                                         
step:259, loss:3.132781982421875                                         
step:260, loss:3.247842311859131                                       
step:261, loss:3.1416587829589844                                      
step:262, loss:2.9637515544891357                                      
step:263, loss:3.124356746673584                                       
step:264, loss:3.1605794429779053                                      
step:265, loss:2.990993022918701                                       
step:266, loss:3.0469484329223633                                      
step:267, loss:3.0711207389831543                                      
step:268, loss:3.3884849548339844                                      
step:269, loss:3.021857261657715                                       
step:270, loss:3.088061571121216                                       
step:271, loss:3.118648052215576                                       
step:272, loss:3.1198482513427734                                      
step:273, loss:3.068427562713623                                       
step:274, loss:3.405661106109619                                       
step:275, loss:2.973672866821289                                       
step:276, loss:3.1955718994140625                                      
step:277, loss:2.946255683898926                                       
step:278, loss:2.953230142593384                                       
step:279, loss:3.00876522064209                                        
step:280, loss:3.12673282623291                                        
step:281, loss:2.983464241027832                                       
step:282, loss:3.013331174850464                                       
step:283, loss:3.3754565715789795                                      
step:284, loss:3.1610987186431885                                      
step:285, loss:3.073153495788574                                       
step:286, loss:3.160052537918091                                       
step:287, loss:3.2053205966949463                                      
step:288, loss:2.932673931121826                                       
step:289, loss:3.192193031311035                                       
step:290, loss:3.3575668334960938                                      
step:291, loss:3.3776354789733887                                      
step:292, loss:3.0357253551483154                                      
step:293, loss:3.0132784843444824                                      
step:294, loss:3.0515153408050537                                      
